"cliente_sk","nome_cliente","cognome_cliente","citta","regione","data_ultimo_ordine","data_primo_ordine","numero_ordini","fatturato_totale","scontrino_medio","importo_massimo_ordine","totale_prodotti_acquistati","num_prodotti_distinti","num_categorie_distinte"
1,"Eugenia","Caracciolo","Sorso","Lombardia","2025-10-04","2024-01-22","7","11996.02","922.7707692307692308","2165.96","14","11","6"
2,"Chiara","Avogadro","Valdieri","Emilia-Romagna","2025-05-08","2024-04-09","4","7121.31","890.1637500000000000","1719.28","9","8","6"
3,"Giampiero","Morandini","San Martino Delle Scale","Marche","2025-10-16","2024-02-10","3","5626.54","803.7914285714285714","1540.01","8","7","4"
4,"Renata","Opizzi","Cotropagno","Toscana","2025-07-27","2024-06-07","9","14591.75","1042.2678571428571429","2316.50","18","11","8"
5,"Michelangelo","Foscari","Antillo","Marche","2025-02-13","2024-12-05","2","5002.75","1000.5500000000000000","1607.25","6","5","3"
6,"Amedeo","Mennea","Sossai","Calabria","2025-03-14","2024-02-23","5","7358.25","735.8250000000000000","1259.32","10","10","8"
7,"Annamaria","Vasari","Schmuders","Abruzzo","2025-09-20","2023-11-29","5","9857.04","821.4200000000000000","1978.26","15","11","7"
8,"Morena","Querini","Gallo Bolognese","Lazio","2025-07-02","2023-11-28","7","11195.81","746.3873333333333333","1504.21","16","14","7"
9,"Raffaellino","Cuda","Villa Campanile","Basilicata","2025-11-07","2024-06-25","7","14081.60","1083.2000000000000000","3172.73","20","13","6"
10,"Adriana","Turchetta","Lamoli","Calabria","2025-10-06","2024-04-25","8","16332.15","907.3416666666666667","2850.36","22","15","7"
11,"Patrizia","Bompiani","Sant'Eusanio","Liguria","2025-08-07","2024-01-01","5","11894.78","991.2316666666666667","2226.48","14","11","5"
12,"Federica","Palombi","Olmo Al Brembo","Valle d'Aosta","2025-08-09","2024-12-19","2","3344.97","836.2425000000000000","1220.68","4","4","4"
13,"Atenulf","Germano","Anconetta","Abruzzo","2025-11-02","2023-11-23","4","10810.03","1081.0030000000000000","1711.12","11","9","5"
14,"Ornella","Pisaroni","Merici","Piemonte","2025-04-02","2024-05-31","8","16448.03","1028.0018750000000000","3430.23","22","13","7"
15,"Nicoletta","Cantimori","Ottone","Sicilia","2025-10-19","2024-06-05","5","7743.80","703.9818181818181818","1584.21","14","10","7"
16,"Simonetta","Vigliotti","Sant'Antonio Casalini","Piemonte","2025-10-22","2024-01-24","8","11369.53","710.5956250000000000","1425.18","17","13","7"
17,"Adamo","Pennetta","Guarrato","Campania","2024-02-23","2024-02-14","3","9874.41","987.4410000000000000","2566.68","13","10","6"
18,"Bettina","Sinisi","Vairano Patenora","Umbria","2025-08-12","2023-12-08","6","11586.26","965.5216666666666667","2592.13","17","10","6"
19,"Antonia","Gozzi","Noto","Abruzzo","2025-11-05","2024-04-11","6","8543.67","711.9725000000000000","1325.60","16","12","6"
20,"Donatello","Mantegazza","Bologna","Abruzzo","2025-03-02","2023-11-29","7","17280.20","909.4842105263157895","2850.36","26","16","8"
21,"Maurilio","Bombieri","San Mauro In Valle","Puglia","2024-10-29","2024-06-01","2","6724.38","1120.7300000000000000","2728.56","10","5","4"
22,"Coriolano","Visconti","Ca' Pasquali","Piemonte","2025-08-09","2025-05-17","3","2533.20","633.3000000000000000","1113.24","4","4","4"
23,"Antonello","Agazzi","Peroulaz","Emilia-Romagna","2024-08-25","2024-04-10","4","8520.11","1217.1585714285714286","3976.80","9","6","4"
24,"Romana","Pacomio","Zaccheo","Sicilia","2025-09-01","2024-11-08","4","13075.34","1188.6672727272727273","3314.22","15","9","7"
25,"Valentina","Pisano","Blufi","Calabria","2025-08-20","2024-01-29","7","13124.18","937.4414285714285714","1711.12","19","12","7"
26,"Iolanda","Cannizzaro","Campo Tartano","Basilicata","2025-01-03","2024-04-01","3","3846.24","769.2480000000000000","1410.20","5","5","3"
27,"Gustavo","Bonanno","Palese","Marche","2025-03-14","2024-01-27","3","5894.57","1178.9140000000000000","1303.57","6","4","4"
28,"Raffaellino","Musatti","Ospitaletto","Lazio","2025-03-05","2024-02-12","4","6564.84","1312.9680000000000000","2607.14","8","5","5"
29,"Gabriella","Montalcini","Cura Carpignano","Lazio","2025-10-02","2024-02-19","8","22574.39","1128.7195000000000000","3430.23","23","14","7"
30,"Nino","Draghi","Coderno","Calabria","2025-08-22","2024-08-02","2","5568.31","1392.0775000000000000","2566.68","6","3","3"
31,"Tullio","Sforza","Pagnona","Toscana","2025-01-31","2023-12-23","4","7264.45","908.0562500000000000","2569.86","9","8","6"
32,"Salvi","Bonomo","Brusciano","Molise","2025-09-20","2025-09-20","1","3648.69","1216.2300000000000000","1425.18","3","3","2"
33,"Giancarlo","Durante","Borbiago","Marche","2025-08-19","2024-01-16","6","21695.76","1446.3840000000000000","2607.14","24","13","7"
34,"Allegra","Sabatini","Zerba","Trentino-Alto Adige","2025-09-27","2024-02-12","7","14768.31","984.5540000000000000","2569.86","17","13","8"
35,"Mario","Mezzetta","Stazione Di Allerona","Umbria","2025-01-10","2025-01-10","1","1261.76","1261.7600000000000000","1261.76","1","1","1"
36,"Augusto","Foconi","Buchholz","Veneto","2025-07-03","2023-12-13","7","16795.65","799.7928571428571429","3248.94","23","16","8"
